City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,lebyazhye,55.2689,66.4947,55.53,26,82,12.03,RU,1683081819
145,waipawa,-41.4122,175.5153,66.13,71,99,6.64,NZ,1683081819
146,manta,-0.95,-80.7333,80.38,83,40,5.75,EC,1683081819
147,upernavik,72.7868,-56.1549,25.99,67,100,5.53,GL,1683081819
148,nouadhibou,20.931,-17.0347,67.98,73,88,16.11,MR,1683081819
149,okhotsk,59.3833,143.3,37.63,71,5,5.35,RU,1683081820
150,cherskiy,68.75,161.3,17.44,80,99,4.07,RU,1683081820
151,port hedland,-20.3167,118.5667,87.85,25,9,17.27,AU,1683081820
152,buraydah,26.326,43.975,72.05,26,0,11.03,SA,1683081820
153,weihe,32.9952,105.3247,64.35,75,100,3.18,CN,1683081820
154,ambovombe,-25.1667,46.0833,65.01,71,19,8.16,MG,1683081820
155,padang,-0.9492,100.3543,80.65,74,97,1.19,ID,1683081821
156,lubango,-14.9172,13.4925,53.46,71,0,1.14,AO,1683081821
157,pedra,-8.4969,-36.9408,67.15,98,85,3.29,BR,1683081821
158,hambantota,6.1241,81.1185,80.94,100,75,4.61,LK,1683081821
159,sorong,-0.8833,131.25,84.72,72,100,5.01,ID,1683081821
160,fare,-16.7,-151.0167,81.63,79,90,10.65,PF,1683081821
161,bethel,41.3712,-73.414,50.49,68,100,4.61,US,1683081822
162,nikolskoye,59.7035,30.7861,40.91,83,100,12.62,RU,1683081822
163,berbera,10.4396,45.0143,86.83,65,100,2.24,SO,1683081592
164,butaritari,3.0707,172.7902,82.27,77,95,5.79,KI,1683081822
165,lagoa,39.05,-27.9833,59.04,77,8,28.19,PT,1683081822
166,norman wells,65.282,-126.8329,53.64,43,75,5.75,CA,1683081823
167,sao filipe,14.8961,-24.4956,76.24,70,21,7.83,CV,1683081823
168,aswan,24.0934,32.907,72.7,20,0,4.61,EG,1683081823
169,hoquiam,46.9809,-123.8893,60.96,78,0,10.36,US,1683081804
170,sibolga,1.7427,98.7792,81.68,81,100,1.36,ID,1683081823
171,tottori,35.5,134.2333,73.47,35,0,11.5,JP,1683081823
172,aldan,58.6031,125.3894,31.93,99,100,14.03,RU,1683081823
173,nador,35.174,-2.9287,66.45,68,0,0.0,MA,1683081824
174,beloha,-25.1667,45.05,59.25,80,2,6.22,MG,1683081824
175,ucluelet,48.9329,-125.5528,58.08,84,13,1.01,CA,1683081649
176,warrnambool,-38.3833,142.4833,58.33,66,73,26.64,AU,1683081824
177,chuy,-33.6971,-53.4616,54.34,73,1,4.79,UY,1683081824
178,tondon,10.3667,-13.35,75.0,85,100,2.08,GN,1683081824
179,havre-saint-pierre,50.2334,-63.5986,37.4,80,75,5.75,CA,1683081825
180,talaya,61.3833,152.75,28.99,76,100,2.8,RU,1683081825
181,vila velha,-20.3297,-40.2925,69.94,89,40,5.75,BR,1683081825
182,isangel,-19.55,169.2667,86.11,74,40,6.91,VU,1683081825
183,luancheng,37.8792,114.6517,71.76,56,99,4.16,CN,1683081825
184,saskylakh,71.9167,114.0833,28.27,77,100,15.19,RU,1683081825
185,chokurdakh,70.6333,147.9167,12.65,85,55,4.61,RU,1683081825
186,tuktoyaktuk,69.4541,-133.0374,33.8,93,75,4.61,CA,1683081826
187,marienburg,54.0359,19.0266,37.89,86,0,5.55,PL,1683081826
188,hobyo,5.3505,48.5268,82.9,76,100,15.59,SO,1683081826
189,san cristobal,7.7669,-72.225,78.98,68,13,2.98,VE,1683081826
190,arawa,-6.2132,155.5367,86.25,72,79,3.94,PG,1683081826
191,chicama,-7.8447,-79.1469,72.14,79,17,6.42,PE,1683081826
192,vao,-22.6667,167.4833,77.47,82,94,10.8,NC,1683081826
193,grand gaube,-20.0064,57.6608,74.37,79,0,4.0,MU,1683081828
194,sitka,57.0531,-135.33,46.29,87,100,5.75,US,1683081828
195,son la,21.3167,103.9,85.82,56,40,0.72,VN,1683081828
196,hue,16.4667,107.6,87.91,70,20,3.44,VN,1683081828
197,tucurui,-3.7661,-49.6725,73.98,95,96,2.44,BR,1683081828
198,akdepe,42.0551,59.3788,62.69,47,87,10.31,TM,1683081828
199,kuytun,54.3419,101.5036,37.56,62,99,11.16,RU,1683081829
200,maragogi,-9.0122,-35.2225,77.4,83,56,3.71,BR,1683081829
201,benjamin aceval,-24.9667,-57.5667,62.74,96,100,3.98,PY,1683081829
202,umm kaddadah,13.6017,26.6876,79.54,13,1,12.88,SD,1683081829
203,santa rosa,14.3122,121.1114,95.09,61,87,14.85,PH,1683081829
204,kodiak,57.79,-152.4072,45.91,46,0,12.66,US,1683081829
205,college,64.8569,-147.8028,48.52,34,40,11.5,US,1683081649
206,aklavik,68.2191,-135.0107,32.76,100,100,2.21,CA,1683081685
207,kaili,-3.4626,120.2147,81.3,63,19,4.85,ID,1683081830
208,naze,28.3667,129.4833,70.72,66,87,17.4,JP,1683081830
209,takoradi,4.8845,-1.7554,80.51,83,48,7.0,GH,1683081830
210,winnemucca,40.973,-117.7357,66.25,15,0,10.36,US,1683081830
211,ilulissat,69.2167,-51.1,35.62,44,100,19.57,GL,1683081830
212,khatanga,71.9667,102.5,34.45,79,100,28.27,RU,1683081830
213,krasnoselkup,65.7,82.4667,32.04,84,100,16.31,RU,1683081830
214,narsaq,60.9167,-46.05,41.22,73,7,3.22,GL,1683081831
